FULL DATA NOT INCLUDED DUE TO SIZE
album id, list of track ids
4jP1j4XYEliZhWpVkENsYn,[0gIlYkjoPtbhnlcu6Uille,5E4rvctVs83kp813nWDmBb,72aciq7fwpz223mIET8WVK,23tvUbGyv6AohKdjC8Pv6X,1D203CHblHSMH1foZoTvtt,3J8CouOdhiwoMP3ZjnDIfJ]
2Eg4ILMMJQYnOA0gZWTlSf,[5pFWsNa92Q80qiqA18bDH1,4u5AgS9gLOPy69YxTQuPz2,3p8x3Qw80IRpwiFroBoS5w,2VIplfYTE7gKjBApL7KJcz,1ZLaVzz2m1UpOCsas1MyVO,7GeLPTaldJ5FY3svtCpGMy,1aErvL4NPBGkoiSCt4Q5Ov,4QwDfdbahBjOvORJvWme5L]
4ksodTRxbsjqJUHuzwhuEx,[7wJKIZqHo5j4HTHGEV1dwD,6J52fiQgblkpuGYXOM6emg,4oVOYSyTPa4UHoCzX4PvRU,2eO5aJfzhnnlJu9mzIwmqP,7n0DwZHUwEcgmoR3TR6udu,6CiJcv5GRd77zhEFrJL7sC,6b7ngbl0mplzMQWq5JGmWW]
7cGig0KJGIk4HaI7qFynsF,[7ndhEXRGnCy4SfjXoIGxhO,7ERnX7PlPkvjYHscLtxWnC,3IsUjsMz4zR3fkeVb5GzDF,0gORDsfdYgqbFgqKySA1kk,3cIj3Z8d1D9etuzvn6dDa6,053A7POX3Bl4wjc6Uw8pGM,5jdAamahM8f2UsdP48Rl1d,5NxcZjCZCvixZFL1clwJeL,2ZFuQEHeX6K57PRM8MghzE]
6wAlPhxbUg8hgHFurCcF1K,[5TnBg5riqZeqkB8MmCjGdG,5Y8zCwS6JZwyIs5BcS6GHp,330IIDwVqsgo1o2IpxySJQ,7m7hb2cIhP2EtoeU30syr5,2MsGz9xj5zqUpsLr4AxfVa,3CvOGAWjyGEVUNgczHdJPw,5s60zLXVnBYVvkt2uyKrim,1KsxBu18uPczeDfDrs1by0,3SZExEIZWPNdqjycUQUpxE,3EervHwIAJv2d50LlHcWqt]
0C6RgcPPKO6LWs4xQUY7xu,[2XOe28s6xDk79Wjjbn6l94]
7zCbzgOthL1ldcRd19nFZw,[6GJiwnmYmHIAvUqTYUC5PP]
2ZjCBtBoLBlVEo8KDS7d6h,[2PiGWfo9iR19wEfVT48Ch8]
6mbFOxeExykR6XJLE617mk,[4xt9T7bqLoLHuHpdVAJdVd]
01aFOxHDsK8TWmgGNf1PSO,[5e0sqZrtakU2phj6IFxf79]
33LJD3Y5WFHPxL4FBz8b5a,[3oSMFql50Nh0o6FP8jyNJD]
3TiJ46OZ7npOL5wZlOxFmt,[6pajNG78Go4BROxBkcCZjY,4AomcQTfsMFGupO6YkQwGI,7Ee2RqEQA2kVWqYTCKmw2R,6XgkW8nFroeCRPWDjSUwD0]
34599fFTU00YFJRNvmkWV7,[4TUqnNZjCQov5hby2kMb0h]
3gW0uoy9Z8bg4d8sFGkNnH,[504zh5CuTqEjUqUVmKOQSu]
3UbewUayttmgHjqozwnhXy,[7zUHUnmT5anzdmGR81hTsF]
4K9TjBPl9DPwQJjIPOhZqd,[3MX7xMOT702fxDVHgkKZyf]
59PUQpaFnQXHsiiCwBo1Lq,[3kYuvX1LJyhrLnGrnqjuk1]
5yW6REmFIbfHFw7MSi7ASu,[6bxGEu42gL59YSjttMsVWP]
5Ej6pXP4hIEcoaInvNX1GR,[6QYsgGtqSZwaBg8EF2hOar]
6RQyrt77IyNPkC4uf2q3pJ,[5qzEfuYe2QUkGfsgwwAPMr]
4aCQMlYAVfDjLTEltthw7Q,[2P0VhPYQ0qVHVLjSgGOy8S]
3mtAzIKneriRoVGsCMEl7e,[3gEmq6kNmc7pBSYztOKrQ9]
1peK58VRNIIzksdSlZVCBj,[3eaNh313EVtEOh4dmHOqrA]
6BPEfuC5n68gOOouH63Vm1,[3p7u8IpaXjpYh5Ia1JWZzq]
7kAQb0m8UWLvalC8027QKw,[7JoK4bmR921wD5oGhR3EFR]
4Co1EPpedqhZ4lzPkoqyIX,[3Q0zcVPjmXnbXbuaBQz5dZ]
